,10
1,0.30469346046447754
2,0.380892276763916
3,0.40373969078063965
4,0.622765302658081
5,0.5769212245941162
6,0.4815995693206787
7,0.5716581344604492
8,0.5763900279998779
9,0.36168885231018066
10,0.4974336624145508
