,20,40,60,80,100,120,140
1,6,9,27,32,38,58,66
2,2,36,26,28,38,57,57
3,7,13,23,47,37,42,67
4,7,11,26,51,45,55,56
5,11,16,23,30,41,56,55
6,6,9,31,47,48,44,79
7,6,13,21,36,45,69,56
8,3,16,35,23,46,52,76
9,5,13,33,31,47,33,68
10,4,8,26,40,39,47,65
